,name,category,section,description,dimensions,image,page
0,JAR18,Jarrones y jarras,Adorno  Decoración  Salón,Jarras de Talavera grandes,0x0x0 (cm),admin/img_prod/JAR18/JAR18-720x540.png,41
1,MYS18,Tocadiscos y altavoces,Electrónica  Grabadoras y magnetófonos  Sonido,Grabadadora-magnetofono antigua grande con tapa,0x0x0 (cm),admin/img_prod/MYS18/MYS18-720x540.png,41
2,ARA18,Atrezzo Árabe,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/ARA18/LOGOTIPO VAZQUEZ- 720x540.png,41
3,TP18,Tapices y estandartes,Iglesia,Repostero tela negra con escudo Inquisición,160x0x230 (cm),admin/img_prod/TP18/TP18 (ESD44-720x540).png,41
4,ML18,Librería,Americano  Despacho,LIBRERÍA DESPACHO AMERICANA PUERTAS MADERA,101x35x175 (cm),admin/img_prod/ML18/ML18-1-720x540.png,41
5,MED18,Atrezzo medicina,Hospital  Medicina,Cuñas de porcelana blanca antiguas,0x0x0 (cm),admin/img_prod/MED18/MED18-720x540.png,41
6,HOS18,Hospitales,Hospital  Medicina,Carteles de hospital,71x4x200 (cm),admin/img_prod/HOS18/HOS18-720x540.png,41
7,VAA18,Atrezzo vario,Altavoces,Altavoz de feria hierro gris,36x36x49 (cm),admin/img_prod/VAA18/VAR29-1-720x540.png,41
8,TYV18,Televisores y vídeos,Televisor,Televisión antigua caja madera con patas,66x45x95 (cm),admin/img_prod/TYV18/TYV18-1-720x540.png,41
9,SI18,Sillón,Frances  Salón,Sillón Luis XVI dorado rejilla respaldo forma,60x99x97 (cm),admin/img_prod/SI18/SI18-1-720x540.png,41
10,RAD18,Radios,,Radio antigua pintada blanco 4 mandos,1x1x1 (cm),admin/img_prod/RAD18/RAD18-720x540.png,41
11,BAS18,Bascula,Tienda,Báscula de tienda antigua con plato de metal,37x22x31 (cm),admin/img_prod/BAS18/BAS18-1-720x540.png,41
12,JAM18,Jamuga,Medieval,Jamuga fija negra con flores y cabezas talladas,65x65x65 (cm),admin/img_prod/JAM18/JAM18-720x540.png,41
13,MV18,Muebles varios,Descatalogado,,0x0x0 (cm),admin/img_prod/MV18/LOGOTIPO VAZQUEZ- 720x540.png,41
14,JUE18,Juego,Billar,Soporte de madera para palos de billar,1x1x1 (cm),admin/img_prod/JUE18/JUE18-720x540.png,41
15,SIL18,Silla,Comedor  Frances  Salón,Silla Luis XVI medio punto rejilla blanca,44x43x94 (cm),admin/img_prod/SIL18/SIL18 (HAY 4) 720x540.png,41
16,MEC18,Mecedora,Descatalogado,,1x1x1 (cm),admin/img_prod/MEC18/LOGOTIPO VAZQUEZ- 720x540.png,41
17,MOS18,Mostrador,Descatalogado,,0x0x0 (cm),admin/img_prod/MOS18/LOGOTIPO VAZQUEZ- 720x540.png,41
18,S18,Sofá,Frances  Salón,Sofá Luis XVI rejilla dorada respaldo medallón,132x60x102 (cm),admin/img_prod/S18/S18-720x540.png,41
19,ILU18,Iluminación,,Pantalla fluorescente chapa gris de 2,1x1x1 (cm),admin/img_prod/ILU18/ILU18-720X540.png,41
20,PV18,Pie de vela,Antorchero  Medieval,Antorchero de pared de cuadradillo,0x0x0 (cm),admin/img_prod/PV18/PV18-720x540.png,41
21,SEC18,Secreter,Descatalogado,Descatalogado,0x0x0 (cm),admin/img_prod/SEC18/LOGOTIPO VAZQUEZ- 720x540.png,41
22,BRA18,Brasero,Medieval  Pebetero,Pebetero de aspa plato chapa,40x40x111 (cm),admin/img_prod/BRA18/BRA18-1-720x540.png,41
23,JAU18,Jaula,Pie de jaula,Pie de jaula niquelado curvo,0x0x180 (cm),admin/img_prod/JAU18/JAU18-720x540.png,41
24,VI18,Vitrina,Portal,Vitrina de pared de madera para anuncios,100x12x70 (cm),admin/img_prod/VI18/VI18-1-720x540.png,41
25,PER18,Perchero,Americano  Despacho  Recibidor,Perchero de pie curvado oscuro enano,50x50x145 (cm),admin/img_prod/PER18/PER18-720x540.png,41
26,SR18,Silla de ruedas,Hospital,Silla de ruedas plegable tubo aluminio tapizada gris,1x1x1 (cm),admin/img_prod/SR18/SR18-1-720x540.png,41
27,PC18,Pizarra,Colegio,Pizarra de colegio marco madera,150x5x100 (cm),admin/img_prod/PC18/PC18-720x540.png,41
28,QIN18,Quinqués,Imperio,Quinqué imperio estaño depósito metal,1x1x1 (cm),admin/img_prod/QIN18/QIN18-720x540.png,41
29,CEM18,Cementerio,,Lápida de cementerio figurada piedra de corcho,70x28x80 (cm),admin/img_prod/CEM18/CEM18-720x540.png,41
30,ARM18,Armero,Armadura  Medieval,"Armadura chapa hierro completa con maniquí, casco y mandoble",47x47x225 (cm),admin/img_prod/ARM18/ARM18-720x540.png,41
31,MOU18,Mobiliario urbano,Calle,Señal de tráfico peligro paso a nivel sin barrera con pie,60x60x136 (cm),admin/img_prod/MOU18/MOU18-720x540.png,41
32,PEL18,Peluquería,,Secador de peluquería con pie hierro gris,50x50x150 (cm),admin/img_prod/PEL18/PEL18-1-720x540.png,41
33,CDM18,Centro de mesa,Jarras,Centro de mesa forma jarra mármol y metal,0x0x0 (cm),admin/img_prod/CDM18/CDM18-720x540.png,41
34,PAP18,Papelera,,Papelera de alambre grande,0x0x0 (cm),admin/img_prod/PAP18/PAP18-720X540.png,41
35,FIG18,Figuras,Adorno,Figura de escayola pintada forma mano,0x0x0 (cm),admin/img_prod/FIG18/FIG18-720x540.png,41
